CASE_STATUS,JOB_TITLE,FULL_TIME_POSITION,EMPLOYER_NAME,EMPLOYER_STATE,WORKSITE_CITY_1,PREVAILING_WAGE_1,YEAR,
DENIED,ASSOCIATE RESEARCH SCIENTIST,Y,METROPOLITAN MUSEUM OF ART,NY,NEW YORK,78208,2015,
DENIED,PROGRAMMER ANALYST,Y,"UNITED SOFTWARE GROUP, INC.",MI,TROY,59488,2015,
DENIED,FACILITIES LAB OPERATIONS ENGINEER,Y,CUMMINS INC.,IN,SEYMOUR,44699,2015,
DENIED,ASIC DESIGN DEVELOPMENT ENGINEER 2,Y,LSI CORPORATION,MN,MENDOTA HEIGHTS,75046,2015,
DENIED,PRODUCT DESIGN LEAD,Y,"JOHNSON CONTROLS, INC.",MI,PLYMOUTH,76960,2015,
DENIED,MKT RES ANALYST 2,Y,LSI CORPORATION,PA,ALLENTOWN,51397,2015,
DENIED,MECHANICAL ENGINEER I,Y,DELL PRODUCT AND PROCESS INNOVATION SERVICES CORP,IL,PEORIA,63544,2015,
DENIED,SOFTWARE ENGINEER,Y,"YELLOWJACKET, INC.",NY,NEW YORK,85530,2015,
DENIED,TEST ENGINEER 2,Y,LSI CORPORATION,PA,ALLENTOWN,69077,2015,
DENIED,CREATIVE,Y,BARTLE BOGLE HEGARTY LLC,NY,NEW YORK,48152,2015,
DENIED,CPS ENGINEER/ SYSTEMS PQC,Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,PRE-ADMISSION LAW CLERK/ASSOCIATE ATTORNEY,Y,REED SMITH LLP,NY,NEW YORK,82243,2015,
DENIED,WEBSITE APPLICATION PROGRAMMER,Y,"CAZARIN WEB GROUP, INC.",MN,MAPLE GROVE,62712,2015,
DENIED,SENIOR BUSINESS CONSULTANT,Y,"PERFICIENT, INC.",MN,EDEN PRAIRIE,66165,2015,
DENIED,MANAGING EDITOR-PHARMA,Y,"WEBMD, LLC",NY,NEW YORK,78894,2015,
DENIED,LEAD FIELD APPLICATION ENGINEER,Y,"INTERSIL COMMUNICATIONS, INC., AN INTERSIL CORPORATION COMPANY",MI,SOUTHFIELD,86320,2015,
DENIED,SR. SOFTWARE ENGINEER,Y,"JOHNSON CONTROLS, INC.",MI,HOLLAND,62254,2015,
DENIED,SENSOR ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,58386,2015,
DENIED,SYSTEMS CONTROLS ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,TRADER,Y,"SG AMERICAS SECURITIES, LLC",NY,NEW YORK,88213,2015,
DENIED,IT BUSINESS ANALYST SENIOR,Y,CUMMINS INC.,IN,COLUMBUS,45926,2015,
DENIED,BUSINESS ANALYST,Y,CUMMINS INC.,IN,COLUMBUS,45926,2015,
DENIED,DATABASE MANAGER/ECONOMIC ANALYST,Y,"HAVER ANALYTICS, INC.",NY,NEW YORK,45094,2015,
DENIED,ELECTRICAL ENGINEER,Y,KOHLER COMPANY,WI,KOHLER,57304,2015,
DENIED,OPERATIONS SYSTEMS MANAGER,Y,"EXEL, INC.",PA,BREINIGSVILLE,54766,2015,
DENIED,WEB PROGRAMMER,Y,DOMINICAN UNIVERSITY,IL,RIVER FOREST,47174,2015,
DENIED,JUNIOR FIELD ENGINEER,Y,SCHLUMBERGER TECHNOLOGY CORPORATION,PA,BRADFORD,55827,2015,
DENIED,COMPUTATIONAL FLUID DYNAMICS ANALYST ENGINEER,Y,CNH AMERICA LLC,PA,NEW HOLLAND,73507,2015,
DENIED,"MEMBER TECHNICAL STAFF, SOFTWARE",Y,"NETAPP, INC.",PA,CRANBERRY TOWNSHIP,55994,2015,
DENIED,SOFTWARE DEVELOPER,Y,XEROX CORPORATION,NY,WEBSTER,72613,2015,
DENIED,ANALYST,Y,GROUPM WORLDWIDE INC.,NY,NEW YORK,44616,2015,
DENIED,ANALYST,Y,YANKELOVICH PARTNERS LLC,NY,NEW YORK,44616,2015,
DENIED,OBD ENGINEER,Y,CUMMINS EMISSION SOLUTIONS INC.,IN,COLUMBUS,67746,2015,
DENIED,SENIOR SOFTWARE ENGINEER,Y,CUMMINS INC.,MN,FRIDLEY,63232,2015,
DENIED,CURRENT PRODUCT SUPPORT ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,SUPPLY CHAIN/PURCHASING PROCESS IMPROVEMENT LEADER,Y,CUMMINS INC.,IN,COLUMBUS,69410,2015,
DENIED,INVESTOR RELATIONS ANALYST,Y,THE TOKARZ GROUP ADVISERS LLC,NY,PURCHASE,62566,2015,
DENIED,QUANTITATIVE ANALYST,Y,"UNION BANCAIRE PRIVÉE ASSET MANAGEMENT, LLC",NY,NEW YORK,45531,2015,
DENIED,SENIOR SOFTWARE ENGINEER,Y,EMUSIC.COM INC.,NY,NEW YORK,102315,2015,
DENIED,BUSINESS INTELLIGENCE DEVELOPER,Y,THE TORO COMPANY,MN,BLOOMINGTON,47258,2015,
DENIED,ASSOCIATE,Y,ESSAR STEEL MINNESOTA LLC,NY,NEW YORK,88213,2015,
DENIED,CORPORATE SIX SIGMA BLACK BELT,Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,MARKETING FELLOW,Y,WPP GROUP USA INC.,NY,NEW YORK,73174,2015,
DENIED,CHIEF FINANCIAL OFFICER,Y,ESSAR PROJECT MANAGEMENT COMPANY LTD.,MN,HIBBING,110989,2015,
DENIED,SENIOR ACCOUNT DIRECTOR,Y,GMR MARKETING LLC,NY,NEW YORK,120578,2015,
DENIED,ENERGY SOLUTIONS ENGINEER,Y,"JOHNSON CONTROLS, INC.",PA,PLYMOUTH MEETING,56410,2015,
DENIED,ANALYST,Y,EVERCORE PARTNERS SERVICES EAST LLC,NY,NEW YORK,62566,2015,
DENIED,INVESTOR RELATIONS - COMPLIANCE,Y,PROSPECT CAPITAL MANAGEMENT,NY,NEW YORK,49067,2015,
DENIED,VPI RELIABILITY LEADER SENIOR ENGINEER,Y,CUMMINS EMISSION SOLUTIONS INC.,IN,COLUMBUS,51459,2015,
DENIED,DESIGNER,Y,LANDOR LLC,NY,NEW YORK,35984,2015,
DENIED,ANALYST,Y,"MIZUHO CORPORATE BANK, LTD.",NY,NEW YORK,59987,2015,
DENIED,MECHANICAL DEVELOPMENT ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,SENIOR QUANT DEVELOPER,Y,"SG AMERICAS SECURITIES, LLC",NY,NEW YORK,153920,2015,
DENIED,SRT DEVELOPMENT ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,SUPPLIER QUALITY IMPROVEMENT MANAGER,Y,CUMMINS INC.,IN,COLUMBUS,62026,2015,
DENIED,SYSTEMS ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,62026,2015,
DENIED,PHYSICIAN,Y,GUERNSEY HEALTH SYSTEMS,OH,CAMBRIDGE,132517,2015,
DENIED,ACCOUNT SUPERVISOR,Y,YOUNG & RUBICAM INC.,NY,NEW YORK,58906,2015,
DENIED,SENIOR SOFTWARE ENGINEER,Y,MAZIK GLOBAL INC.,IL,PARK RIDGE,88100,2015,
DENIED,"NON-OFFICER, DESK QUANTITATIVE ANALYST",Y,UBS SECURITIES LLC,NY,NEW YORK,88213,2015,
DENIED,ASSOCIATE,Y,MORGAN STANLEY & CO. LLC,NY,NEW YORK,139506,2015,
DENIED,COMMERCIAL CONTROLS SUPPORT ENGINEER,Y,CUMMINS INC.,MN,FRIDLEY,63232,2015,
DENIED,PHYSICAL DESIGN ENGINEER 2,Y,LSI CORPORATION,MN,MENDOTA HEIGHTS,75046,2015,
DENIED,ON-HWY PACKAGING ENGINEERING TEAM LEAD,Y,CUMMINS EMISSION SOLUTIONS INC.,WI,STOUGHTON,58843,2015,
DENIED,MARINE APPLICATIONS ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,62026,2015,
DENIED,ANALYST,Y,MORGAN STANLEY & CO. LLC,NY,NEW YORK,62566,2015,
DENIED,ON BOARD DIAGNOSTIC DEVELOPMENT/CALIBRATION ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,62026,2015,
DENIED,SR. FIXED INCOME TRADER,Y,CHOPPER TRADING LLC,IL,CHICAGO,79000,2015,
DENIED,SAP BW ANALYST,Y,"JOHNSON CONTROLS, INC.",WI,MILWAUKEE,77251,2015,
DENIED,TRADING ANALYST,Y,CHOPPER TRADING LLC,IL,CHICAGO,51400,2015,
DENIED,FRONT OFFICE DEVELOPER,Y,SG AMERICAS SECURITIES,NY,NEW YORK,87714,2015,
DENIED,SOFTWARE ENGINEER (SYSTEMS),Y,NRELATE LLC,NY,NEW YORK,70366,2015,
DENIED,"ENGINEER, DEVELOPMENT",Y,SEARS HOLDINGS MANAGEMENT CORPORATION,IL,HOFFMAN ESTATES,90900,2015,
DENIED,ARCHITECTURAL DESIGNER II,Y,KOHN PEDERSON FOX ASSOCIATES PC,NY,NEW YORK,53518,2015,
DENIED,SENIOR MECHANICAL ENGINEER,Y,CUMMINS INC.,MN,FRIDLEY,68827,2015,
DENIED,OPERATIONS SPECIALIST,Y,SOCIETE GENERALE,NY,NEW YORK,61485,2015,
DENIED,ASSOCIATE,Y,MORGAN STANLEY & CO. LLC,NY,NEW YORK,75878,2015,
DENIED,MOTORS & DRIVE TEAM LEADER,Y,CUMMINS INC.,IN,COLUMBUS,75691,2015,
DENIED,CHIEF OPERATING OFFICER,Y,"TEACH FOR ALL, INC.",NY,NEW YORK,204818,2015,
DENIED,MARKETING FELLOW,Y,WPP GROUP USA INC.,NY,NEW YORK,75442,2015,
DENIED,BIOSTATISTICIAN,Y,CLEVELAND CLINIC,OH,CLEVELAND,59259,2015,
DENIED,DIGITAL ANALYST,Y,GREY HEALTHCARE GROUP INC.,NY,NEW YORK,45448,2015,
DENIED,RESEARCH SCIENTIST,Y,RESEARCH FOUNDATION OF THE STATE UNIVERSITY OF NEW YORK,NY,STONY BROOK,62000,2015,
DENIED,SENIOR JAVA DEVELOPER,Y,"INNOVATIVE SYSTEMS GROUP, INC.",IL,CHICAGO,96013,2015,
DENIED,"CHIEF TECHNICAL OFFICER, AMERICAS",Y,"NEWEDGE USA, LLC",IL,CHICAGO,173056,2015,
DENIED,MANUFACTURING ENGINEERING LEADER,Y,"CUMMINS FILTRATION, INC.",WI,NEILLSVILLE,54870,2015,
DENIED,COST ENGINEER,Y,"TULA CONSTRUCTION MANAGERS, INC.",NY,NEW YORK,48568,2015,
DENIED,SOFTWARE ENGINEER II,Y,GOOGLE INC.,NY,NEW YORK,104458,2015,
DENIED,APPLICATIONS SYSTEMS ANALYST,Y,LOYOLA UNIVERSITY CHICAGO,IL,CHICAGO,58718,2015,
DENIED,"PRODUCT MANAGER, PRINT AND TEXTILES",Y,"PRESIDIO INTERNATIONAL, INC",NY,NEW YORK,50398,2015,
DENIED,VICE PRESIDENT,Y,"EVERCORE PARTNERS SERVICES EAST, LLC",NY,NEW YORK,136552,2015,
DENIED,APPLICATION ENGINEER - MARINE,Y,CUMMINS INC.,MN,SHOREVIEW,68827,2015,
DENIED,BUSINESS ANALYST,Y,"JOHNSON CONTROLS, INC.",WI,MILWAUKEE,77251,2015,
DENIED,"MEMBER TECHNICAL STAFF, QUALITY ASSURANCE",Y,"NETAPP, INC.",PA,CRANBERRY TOWNSHIP,74027,2015,
DENIED,INVESTMENT BANKER,Y,"SG AMERICAS SECURITIES, LLC",NY,NEW YORK,116251,2015,
DENIED,FRONT OFFICE DEVELOPER,Y,SOCIETE GENERALE,NY,NEW YORK,87714,2015,
DENIED,ENVIRONMENTAL ENGINEERING TECHNICIANS,Y,"IMPACT ENVIRONMENTAL CONSULTING, INC.",NY,BOHEMIA,31242,2015,
DENIED,SENIOR ANALYST,Y,GROUPM WORLDWIDE INC.-MEC,NY,NEW YORK,60445,2015,
DENIED,PRINCIPAL ENGINEER/TECHNOLOGIST,Y,"JOHNSON CONTROLS, INC.",WI,MILWAUKEE,77251,2015,
DENIED,SENIOR DESIGN ENGINEER - SYSTEMS SIMULATIONS,Y,CNH AMERICA LLC,IL,BURR RIDGE,67288,2015,
DENIED,"MEMBER TECHNICAL STAFF, QUALITY ASSURANCE",Y,"NETAPP, INC.",PA,CRANSBERRY TOWNSHIP,74027,2015,
DENIED,SOFTWARE ENGINEER,Y,IPREO US LLC,NY,NEW YORK,87714,2015,
DENIED,SENIOR PERFORMANCE TEST ENGINEER,Y,"DEALERTRACK, INC.",NY,LAKE SUCCESS,81869,2015,
DENIED,JUNIOR ARCHITECTURAL DESIGNER,Y,ROBERT A.M. STERN ARCHITECTS,NY,NEW YORK,53518,2015,
DENIED,"SENIOR ANALYST, PERFORMANCE TESTER",Y,SEARS HOLDINGS MANAGEMENT CORPORATION,IL,HOFFMAN ESTATES,83500,2015,
DENIED,"SENIOR TREASURY ANALYST, INTERNATIONAL TREASURY",Y,INGREDION INCORPORATED,IL,WESTCHESTER,66768,2015,
DENIED,"DIRECTOR, PLANNING AND ANALYSIS",Y,ARCHER DANIELS MIDLAND COMPANY,IL,DECATUR,107245,2015,
DENIED,MANUFACTURING ENGINEER,Y,"NELSON GLOBAL PRODUCTS, INC.",WI,BLACK RIVER FALLS,64438,2015,
DENIED,SENIOR SPECIALIST APPLICATIONS DEVELOPER,Y,"AT&T SERVICES, INC.",IL,HOFFMAN ESTATES,59259,2015,
DENIED,PRIVATE EQUITY ASSOCIATE,Y,"D.E. SHAW & CO., L.P.",NY,NEW YORK,90085,2015,
DENIED,POST DOCTORAL FELLOW,Y,VAN ANDEL RESEARCH INSTITUTE,MI,GRAND RAPIDS,38147,2015,
DENIED,HYBRID CONTROLS ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,69264,2015,
DENIED,COMMODITY BUYER,Y,CNH AMERICA LLC,IL,BURR RIDGE,62088,2015,
DENIED,OPERATIONS SPECIALIST,Y,"SG AMERICAS SECURITIES, LLC",NY,NEW YORK,61485,2015,
DENIED,SOFTWARE ENGINEER II,Y,"HARTE-HANKS DATA TECHNOLOGIES, INC.",PA,LANGHORNE,82451,2015,
DENIED,DIGITAL PROJECT MANAGER,Y,HOGARTH WORLDWIDE INC.,NY,NEW YORK,40643,2015,
DENIED,DATA CENTER OPERATIONS MANAGER,Y,OGILVY & MATHER WORLDWIDE INC,NY,NEW YORK,89232,2015,
DENIED,LEAD SYSTEM SPECIALIST,Y,VERIZON BUSINESS NETWORK SERVICES INC.,NY,EAST MEADOW,70512,2015,
DENIED,"GROUP OPERATIONS ANALYST, IB",Y,UBS SECURITIES LLC,NY,NEW YORK,54600,2015,
DENIED,"VICE PRESIDENT, RESEARCH ANALYST",Y,INDUS CAPITAL PARTNERS LLC,NY,NEW YORK,116251,2015,
DENIED,CLINICAL RESEARCH ASSOCIATE,Y,BRONX LEBANON HOSPITAL CENTER,NY,BRONX,65000,2015,
DENIED,SOFTWARE DESIGN ENGINEER,Y,"JOHNSON CONTROLS, INC.",MI,HOLLAND,58053,2015,
DENIED,QUALITY MANAGER,Y,CUMMINS INC.,IN,COLUMBUS,64438,2015,
DENIED,"EXECUTIVE DIRECTOR,  INDEX TRANCHE TRADER, STRUCTURED CREDIT",Y,UBS SECURITIES LLC,NY,NEW YORK,140200,2015,
